,created_at,text,geo,coordinates,place
0,Sun Dec 05 06:28:28 +0000 2021,#1333bikeathon day 6 final day and back to Independence Square @ Arcade Independence Square https://t.co/3AADF3oBvv,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
1,Tue Nov 30 01:15:52 +0000 2021,Just posted a photo @ Supun Arcade Residency https://t.co/oh9VNuDfjT,"{'type': 'Point', 'coordinates': [6.87616024, 79.86050099]}","{'type': 'Point', 'coordinates': [79.86050099, 6.87616024]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
2,Mon Nov 29 12:44:35 +0000 2021,Just posted a photo @ Supun Arcade Residency https://t.co/7E2NOoPSf7,"{'type': 'Point', 'coordinates': [6.87616024, 79.86050099]}","{'type': 'Point', 'coordinates': [79.86050099, 6.87616024]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
3,Fri Nov 19 06:26:52 +0000 2021,"Repeat after me:
Something wonderful is about to happen to me @ Arcade Independence Square https://t.co/2s36TJceDy","{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
4,Sat Apr 10 16:33:26 +0000 2021,"I'm at Arcade Independence Square in Colombo, Western Province https://t.co/M2qp7IzY3y","{'type': 'Point', 'coordinates': [6.90287785, 79.86885362]}","{'type': 'Point', 'coordinates': [79.86885362, 6.90287785]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
5,Tue Apr 06 13:04:11 +0000 2021,"I'm at Arcade Independence Square in Colombo, Western Province https://t.co/9NrNfcap9h","{'type': 'Point', 'coordinates': [6.90287785, 79.86885362]}","{'type': 'Point', 'coordinates': [79.86885362, 6.90287785]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
6,Tue Apr 06 07:47:17 +0000 2021,I know that's right 😜 🔞 @ Arcade https://t.co/PXnglVc0WN,"{'type': 'Point', 'coordinates': [6.93727427, 79.86929169]}","{'type': 'Point', 'coordinates': [79.86929169, 6.93727427]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
7,Mon Mar 29 17:19:48 +0000 2021,"Just posted a photo @ Torrington Arcade, Independence Square https://t.co/vFnNKAYkcs","{'type': 'Point', 'coordinates': [6.90253963, 79.86913829]}","{'type': 'Point', 'coordinates': [79.86913829, 6.90253963]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
8,Sat Feb 27 08:04:34 +0000 2021,"𝓣𝓸𝓰𝓮𝓽𝓱𝓮𝓻 𝓕𝓸𝓻𝓮𝓿𝓮𝓻 ♡

#newlife #newwife #taken #love 

#TheJourneyJustBegins 
#qammaruzzaman @ Arcade Independence Sq… https://t.co/6U7aflbepw","{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
9,Thu Feb 11 07:18:13 +0000 2021,#february #independencemonth #proudtobesrilankan #exercisemotivation @ Arcade Independence Square https://t.co/mggBHQd4j2,"{'type': 'Point', 'coordinates': [6.90297056, 79.868645]}","{'type': 'Point', 'coordinates': [79.868645, 6.90297056]}","{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.650526, 5.921383], [79.650526, 9.835938], [81.878782, 9.835938], [81.878782, 5.921383]]]}, 'attributes': {}}"
